Sum of AnnualFixedOperatingCost,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_AGR_FAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_BIOM,0.1835,0.1825,0.182,0.181,0.1805,0.1799,0.1789,0.1784,0.1774,0.1769,0.1759,0.1753,0.1748,0.1738,0.1733,0.1723,0.1719,0.1714,0.1705,0.1701,0.1688,0.1682,0.1673,0.1669,0.1665,0,0,0,0,0,0,0,0,0,,4.368
PHL_AGR_HEAT_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_NG,2.4405,2.5553,2.6389,2.7214,2.8028,2.8833,2.9682,3.0524,3.1358,3.2185,3.396,3.4797,3.5634,3.6471,3.7308,3.8145,3.914,4.0135,4.1129,4.2124,4.2799,4.2759,4.2719,4.2677,4.2677,3.0437,2.9389,2.8669,2.7948,2.7228,5.8518,5.9963,6.1409,6.2854,,126.306
PHL_AGR_HEAT_OIL,0.4512,0.4548,0.458,0.4608,0.4633,0.4654,0.4673,0.4688,0.4702,0.4714,0.487,0.4863,0.4856,0.4849,0.4842,0.4835,0.4828,0.4822,0.4815,0.4808,0.4801,0.4794,0.478,0.478,0.478,0,0,0,0,0,0,0,0,0,,11.8635
PHL_AGR_MOT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_MOT_LIQ,258.9921,264.8225,270.6529,276.4833,282.3137,288.144,294.4654,300.7868,307.1081,313.4295,319.7508,326.9326,334.1143,341.296,348.4777,355.6594,364.2035,372.7475,381.2916,389.8356,398.3797,408.3247,418.2698,428.2148,438.1599,448.105,459.4445,470.784,482.1235,493.463,504.8025,517.2698,529.737,542.2043,,12930.7898
PHL_AGR_UNIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_DEM_PUB_GWT_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_DEM_PUB_SUR_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_DEM_PWR_GWT_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_DEM_PWR_SUR_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_COOK_BIOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_COOK_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_COOK_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_COOK_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_COOK_OIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_HOU_UNIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHHPH_BIOM,21.7385,21.6369,21.5356,21.4344,21.3336,21.2331,21.1332,21.0339,20.9355,20.8381,20.7326,20.6332,20.5341,20.4358,20.3388,20.2436,20.1505,20.0596,19.9711,19.8851,19.7488,19.6516,19.5609,19.4745,19.4293,0,0,0,0,0,0,0,0,0,,513.7023
PHL_INDU_OTHHPH_BIOM_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHHPH_COAL,48.5007,139.297,141.9018,144.4906,147.0637,149.6218,152.4198,155.2032,157.9735,160.7318,163.2323,166.3866,169.5184,172.6331,175.7353,178.8292,182.6014,186.3681,190.1323,193.8964,197.1338,201.4156,205.7318,210.0802,214.459,218.8663,223.98,229.1162,234.2737,239.4512,241.8911,247.8651,253.8392,259.8132,,6354.4534
PHL_INDU_OTHHPH_COAL_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHHPH_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHHPH_NG,0.1769,0.1785,0.1799,0.1811,0.1823,0.1833,0.1842,0.185,0.1858,0.1864,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0.1925,0,0,0,0,0,0,0,0,0,,4.7109
PHL_INDU_OTHHPH_NG_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_INDU_OTHHPH_OIL,18.9017,19.0371,19.154,19.2541,19.3393,19.4109,19.4705,19.5192,19.5581,19.5883,20.2198,20.1729,20.1259,20.0789,20.0319,19.9849,19.938,19.891,19.844,19.797,19.75,19.7031,19.6561,19.6091,19.6072,0,0,0,0,0,0,0,0,0,,491.643
