r,t,y,TotalCapacityAnnual
RE1,PHL_PRO_IMP_UR,2020,0.0
RE1,PHL_PRO_IMP_UR,2021,0.0
RE1,PHL_PRO_IMP_UR,2022,0.0
RE1,PHL_PRO_IMP_UR,2023,0.0
RE1,PHL_PRO_IMP_UR,2024,0.0
RE1,PHL_PRO_IMP_UR,2025,0.0
RE1,PHL_PRO_IMP_UR,2026,0.0
RE1,PHL_PRO_IMP_UR,2027,0.0
RE1,PHL_PRO_IMP_UR,2028,0.0
RE1,PHL_PRO_IMP_UR,2029,0.0
RE1,PHL_PRO_IMP_UR,2030,0.0
RE1,PHL_PRO_IMP_UR,2031,0.0
RE1,PHL_PRO_IMP_UR,2032,0.0
RE1,PHL_PRO_IMP_UR,2033,0.0
RE1,PHL_PRO_IMP_UR,2034,0.0
RE1,PHL_PRO_IMP_UR,2035,0.0
RE1,PHL_PRO_IMP_UR,2036,0.0
RE1,PHL_PRO_IMP_UR,2037,0.0
RE1,PHL_PRO_IMP_UR,2038,-0.0
RE1,PHL_PRO_IMP_UR,2039,0.0
RE1,PHL_PRO_IMP_UR,2040,0.0
RE1,PHL_PRO_IMP_UR,2041,0.0
RE1,PHL_PRO_IMP_UR,2042,0.0
RE1,PHL_PRO_IMP_UR,2043,0.0
RE1,PHL_PRO_IMP_UR,2044,0.0
RE1,PHL_PRO_IMP_UR,2045,0.0
RE1,PHL_PRO_IMP_UR,2046,0.0
RE1,PHL_PRO_IMP_UR,2047,0.0
RE1,PHL_PRO_IMP_UR,2048,0.0
RE1,PHL_PRO_IMP_UR,2049,0.0
RE1,PHL_PRO_IMP_UR,2050,0.0
RE1,PHL_PRO_IMP_UR,2051,0.0
RE1,PHL_PRO_IMP_UR,2052,0.0
RE1,PHL_PRO_IMP_UR,2053,0.0
RE1,PHL_PWR_GAS,2020,999999.0
RE1,PHL_PWR_GAS,2021,999999.0
RE1,PHL_PWR_GAS,2022,999999.0
RE1,PHL_PWR_GAS,2023,999999.0
RE1,PHL_PWR_GAS,2024,999999.0
RE1,PHL_PWR_GAS,2025,999999.0
RE1,PHL_PWR_GAS,2026,999999.0
RE1,PHL_PWR_GAS,2027,999999.0
RE1,PHL_PWR_GAS,2028,999999.0
RE1,PHL_PWR_GAS,2029,999999.0
RE1,PHL_PWR_GAS,2030,999999.0
RE1,PHL_PWR_GAS,2031,999999.0
RE1,PHL_PWR_GAS,2032,999999.0
