r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2020,1,RE1,1,RE1,0.3188
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2021,1,RE1,1,RE1,0.326
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2022,1,RE1,1,RE1,0.3332
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2023,1,RE1,1,RE1,0.3403
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2024,1,RE1,1,RE1,0.3475
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2025,1,RE1,1,RE1,0.3547
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2026,1,RE1,1,RE1,0.3625
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2027,1,RE1,1,RE1,0.3703
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2028,1,RE1,1,RE1,0.378
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2029,1,RE1,1,RE1,0.3858
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2030,1,RE1,1,RE1,0.3936
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2031,1,RE1,1,RE1,0.4024
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2032,1,RE1,1,RE1,0.4113
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2033,1,RE1,1,RE1,0.4201
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2034,1,RE1,1,RE1,0.429
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2035,1,RE1,1,RE1,0.4378
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2036,1,RE1,1,RE1,0.4483
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2037,1,RE1,1,RE1,0.4588
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2038,1,RE1,1,RE1,0.4694
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2039,1,RE1,1,RE1,0.4799
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2040,1,RE1,1,RE1,0.4904
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2041,1,RE1,1,RE1,0.3875
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2042,1,RE1,1,RE1,0.3573
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2043,1,RE1,1,RE1,0.3292
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2044,1,RE1,1,RE1,0.3031
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2045,1,RE1,1,RE1,0.279
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2046,1,RE1,1,RE1,0.2575
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2047,1,RE1,1,RE1,0.2375
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2048,1,RE1,1,RE1,0.2189
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2049,1,RE1,1,RE1,0.2016
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2050,1,RE1,1,RE1,0.6214
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2051,1,RE1,1,RE1,0.6367
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2052,1,RE1,1,RE1,0.6521
RE1,PHL_AGR_ELEF,PHL_AGR_FAC,2053,1,RE1,1,RE1,0.6674
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_BIOM,2020,1,RE1,1,RE1,0.0005
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2020,1,RE1,1,RE1,0.2511
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2021,1,RE1,1,RE1,0.2684
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2022,1,RE1,1,RE1,0.2753
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2023,1,RE1,1,RE1,0.2822
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2024,1,RE1,1,RE1,0.2891
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2025,1,RE1,1,RE1,0.296
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2026,1,RE1,1,RE1,0.3458
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2027,1,RE1,1,RE1,0.311
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2028,1,RE1,1,RE1,0.3185
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2029,1,RE1,1,RE1,0.326
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2030,1,RE1,1,RE1,0.3334
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2031,1,RE1,1,RE1,0.3419
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2032,1,RE1,1,RE1,0.3504
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2033,1,RE1,1,RE1,0.3589
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2034,1,RE1,1,RE1,0.3674
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2035,1,RE1,1,RE1,0.3759
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2036,1,RE1,1,RE1,0.386
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2037,1,RE1,1,RE1,0.3961
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2038,1,RE1,1,RE1,0.4478
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2039,1,RE1,1,RE1,0.4163
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2040,1,RE1,1,RE1,0.4264
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2041,1,RE1,1,RE1,0.3868
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2042,1,RE1,1,RE1,0.3535
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2043,1,RE1,1,RE1,0.3638
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2044,1,RE1,1,RE1,0.2937
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2045,1,RE1,1,RE1,0.3083
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2046,1,RE1,1,RE1,0.2845
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2047,1,RE1,1,RE1,0.2624
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2048,1,RE1,1,RE1,0.2418
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2049,1,RE1,1,RE1,0.2228
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2050,1,RE1,1,RE1,0.5928
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2051,1,RE1,1,RE1,0.6075
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2052,1,RE1,1,RE1,0.6221
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_NG,2053,1,RE1,1,RE1,0.6367
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2020,1,RE1,1,RE1,0.0525
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2021,1,RE1,1,RE1,0.0426
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2022,1,RE1,1,RE1,0.0425
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2023,1,RE1,1,RE1,0.0425
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2024,1,RE1,1,RE1,0.0424
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2025,1,RE1,1,RE1,0.0424
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2027,1,RE1,1,RE1,0.0422
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2028,1,RE1,1,RE1,0.0422
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2029,1,RE1,1,RE1,0.0421
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2030,1,RE1,1,RE1,0.0421
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2031,1,RE1,1,RE1,0.042
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2032,1,RE1,1,RE1,0.0419
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2033,1,RE1,1,RE1,0.0419
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2034,1,RE1,1,RE1,0.0418
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2035,1,RE1,1,RE1,0.0418
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2036,1,RE1,1,RE1,0.0417
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2037,1,RE1,1,RE1,0.0416
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2039,1,RE1,1,RE1,0.0415
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2040,1,RE1,1,RE1,0.0415
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2041,1,RE1,1,RE1,0.0414
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2042,1,RE1,1,RE1,0.0413
RE1,PHL_AGR_HEAT,PHL_AGR_HEAT_OIL,2044,1,RE1,1,RE1,0.0413
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2020,1,RE1,1,RE1,0.2708
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2021,1,RE1,1,RE1,0.2768
